Área de conservación,Localidad,Sitio,Sitio (otro nombre),Sitio+Período,Buzo,Tipo muestreo,Transecto (cod.campo),Transecto (codSitio/Fecha),Transecto (cod.Continuo),Área transecto (m),Fecha,Año,Período,Digitador,Fecha digitación,Profundidad,Categoría profundidad,Visibilidad,Hora inicio,Hora Final,Tiempo,Tiempo fina (min),Código sp.,Especie,Total,2.5,7.5,12.5,17.5,25,35,45,55,65,75,85,95,112.5,137.5,162.5,187.5,225,275,325,700,a,b,Biomasa,Biomasa (g/m2),Biomasa (Kg/Ha),Biomasa (tn/ha),CPUE (individuos/min),Densidad,NT (Fishbase),GF abrev. (Quimbayo/Roff),GF (Quimbayo/Roff),IUCN
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,chu,Chaetodon humeralis,3,,3,,,,,,,,,,,,,,,,,,,0.0296,2.9895,36.67825054,#DIV/0!,#DIV/0!,#DIV/0!,0.0625,Buceo errante,2.7,OM,Omnivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,sgh,Scarus ghobban,23,,,,3,20,,,,,,,,,,,,,,,,0.0233,2.919,5907.230182,#DIV/0!,#DIV/0!,#DIV/0!,0.479166667,Buceo errante,2,HM,Macroalgae feeders,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,sfl,Stegastes flavilatus,10,,7,3,,,,,,,,,,,,,,,,,,0.0349,2.9109,249.4103971,#DIV/0!,#DIV/0!,#DIV/0!,0.208333333,Buceo errante,2,HD,Detritivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,cbr,Calamus brachysomus,4,,,,,4,,,,,,,,,,,,,,,,0.3975,2.8761,16672.94752,#DIV/0!,#DIV/0!,#DIV/0!,0.083333333,Buceo errante,3.5,IN,Invertebrivores,NE
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,hch,Halichoeres chierchiae,49,,19,20,10,,,,,,,,,,,,,,,,,0.0126,3.0673,1517.776665,#DIV/0!,#DIV/0!,#DIV/0!,1.020833333,Buceo errante,3.5,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,sve,Sufflamen verres,11,,,,5,6,,,,,,,,,,,,,,,,0.0249,3.013,3126.667436,#DIV/0!,#DIV/0!,#DIV/0!,0.229166667,Buceo errante,3.3,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,oxa,Odontoscion xanthops,30,,,1,28,1,,,,,,,,,,,,,,,,0.00933,3.09,2029.094683,#DIV/0!,#DIV/0!,#DIV/0!,0.625,Buceo errante,3.7,PK,Planktivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,ssu,Sargocentron suborbitalis,12,,,,12,,,,,,,,,,,,,,,,,0.0232,2.9554,1313.239327,#DIV/0!,#DIV/0!,#DIV/0!,0.25,Buceo errante,3.5,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,sac,Stegastes acapulcoensis,21,,,21,,,,,,,,,,,,,,,,,,0.0349,2.9109,1142.983809,#DIV/0!,#DIV/0!,#DIV/0!,0.4375,Buceo errante,2,HD,Detritivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,lar,Lutjanus argentiventris,14,,,,,13,1,,,,,,,,,,,,,,,0.0173,3,4255.8,#DIV/0!,#DIV/0!,#DIV/0!,0.291666667,Buceo errante,4,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,hni,Halichoeres nicholsi,35,,35,,,,,,,,,,,,,,,,,,,0.0126,3.0673,213.0659264,#DIV/0!,#DIV/0!,#DIV/0!,0.729166667,Buceo errante,4,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,mbre,Malacanthus brevirostris,20,20,,,,,,,,,,,,,,,,,,,,0.00494,3,1.54375,#DIV/0!,#DIV/0!,#DIV/0!,0.416666667,Buceo errante,3.5,IN,Invertebrivores,NE
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,mal,Malacoctenus,20,20,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0.416666667,Buceo errante,0,IN,Invertebrivores,0
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,paz,Plagiotremus azaleus,46,25,21,,,,,,,,,,,,,,,,,,,0.0046,3.1388,55.94437675,#DIV/0!,#DIV/0!,#DIV/0!,0.958333333,Buceo errante,4,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,atr,Abudefduf troschelii,33,30,3,,,,,,,,,,,,,,,,,,,0.016,3.0516,30.33183374,#DIV/0!,#DIV/0!,#DIV/0!,0.6875,Buceo errante,3,PK,Planktivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,ccab,Caranx caballus,30,,,30,,,,,,,,,,,,,,,,,,0.025,3,1464.84375,#DIV/0!,#DIV/0!,#DIV/0!,0.625,Buceo errante,4,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,ado,Apogon dovii,68,50,18,,,,,,,,,,,,,,,,,,,0.0141,3.1286,151.1353292,#DIV/0!,#DIV/0!,#DIV/0!,1.416666667,Buceo errante,3.4,PK,Planktivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,hma,Haemulon maculicauda,55,,,,55,,,,,,,,,,,,,,,,,0.0089,3.16,4147.180425,#DIV/0!,#DIV/0!,#DIV/0!,1.145833333,Buceo errante,4.2,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,tlu,Thalassoma lucasanum,69,50,5,14,,,,,,,,,,,,,,,,,,0.01261,2.8783,283.1860141,#DIV/0!,#DIV/0!,#DIV/0!,1.4375,Buceo errante,3.5,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,cat,Chromis atrilobata,1100,100,1000,,,,,,,,,,,,,,,,,,,0.00523,3.41655,5119.280053,#DIV/0!,#DIV/0!,#DIV/0!,22.91666667,Buceo errante,3.4,PK,Planktivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,apa,Apogon pacificus,2000,2000,,,,,,,,,,,,,,,,,,,,0.0141,3.1286,495.7288787,#DIV/0!,#DIV/0!,#DIV/0!,41.66666667,Buceo errante,3.4,PK,Planktivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,pvi,Pareques viola,1,,,1,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,0,IN,Invertebrivores,0
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,pzo,Pomacanthus zonipectus,18,4,11,2,,1,,,,,,,,,,,,,,,,0.0193,2.9696,428.6856461,#DIV/0!,#DIV/0!,#DIV/0!,0.529411765,Buceo errante,3.1,IN,Invertebrivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,rpr,Rhinobatos productus,1,,,,,,,1,,,,,,,,,,,,,,0.00396,3,360.855,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,0,PS,Piscivores,NT
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,spe,Scarus perrico,1,,,,,,1,,,,,,,,,,,,,,,0.0186,3.0455,937.5019361,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,2,HM,Macroalgae feeders,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,sru,Scarus rubroviolaceus,1,,,,,1,,,,,,,,,,,,,,,,0.0136,3.109,301.8105351,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,2,HM,Macroalgae feeders,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,smy,Scorpaena mystes,1,,1,,,,,,,,,,,,,,,,,,,0.0195,3.0056,8.319912227,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,3.8,PS,Piscivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,slac,Synodus lacertinus,1,,,1,,,,,,,,,,,,,,,,,,0.0065,2.99,12.37867884,#DIV/0!,#DIV/0!,#DIV/0!,0.029411765,Buceo errante,4.2,PS,Piscivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,chu,Chaetodon humeralis,57,4,3,50,,,,,,,,,,,,,,,,,,0.0296,2.9895,2853.483314,#DIV/0!,#DIV/0!,#DIV/0!,1.676470588,Buceo errante,2.7,OM,Omnivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,dho,Diodon holocanthus,5,,2,3,,,,,,,,,,,,,,,,,,0.0219,3,146.7984375,#DIV/0!,#DIV/0!,#DIV/0!,0.147058824,Buceo errante,3.3,IN,Invertebrivores,NE
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,ene,Echidna nebulosa,3,,,,,1,2,,,,,,,,,,,,,,,0.0012,3,121.65,#DIV/0!,#DIV/0!,#DIV/0!,0.088235294,Buceo errante,4,PS,Piscivores,NE
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,aaf,Alphestes afer,8,,1,4,3,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0.235294118,Buceo errante,0,PS,Piscivores,0
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,mle,Muraena lentiginosa,3,,,,1,2,,,,,,,,,,,,,,,,0.0017,2.9528,53.59651189,#DIV/0!,#DIV/0!,#DIV/0!,0.088235294,Buceo errante,3.9,PS,Piscivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,hni,Halichoeres nicholsi,3,,,3,,,,,,,,,,,,,,,,,,0.0126,3.0673,87.50721913,#DIV/0!,#DIV/0!,#DIV/0!,0.088235294,Buceo errante,4,IN,Invertebrivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,hgu,Hoplopagrus guentherii,12,,,8,4,,,,,,,,,,,,,,,,,0.0228,3,845.025,#DIV/0!,#DIV/0!,#DIV/0!,0.352941176,Buceo errante,3.8,PS,Piscivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,jni,Johnrandallia nigrirostris,5,,,5,,,,,,,,,,,,,,,,,,0.0256,3.0006,250.3791465,#DIV/0!,#DIV/0!,#DIV/0!,0.147058824,Buceo errante,3,IN,Invertebrivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,ado,Apogon dovii,7,,7,,,,,,,,,,,,,,,,,,,0.0141,3.1286,53.95526393,#DIV/0!,#DIV/0!,#DIV/0!,0.205882353,Buceo errante,3.4,PK,Planktivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,cpu,Canthigaster punctatissima,11,,11,,,,,,,,,,,,,,,,,,,0.0197,2.9174,77.40386399,#DIV/0!,#DIV/0!,#DIV/0!,0.323529412,Buceo errante,3,IN,Invertebrivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,sfl,Stegastes flavilatus,8,,8,,,,,,,,,,,,,,,,,,,0.0349,2.9109,98.43085229,#DIV/0!,#DIV/0!,#DIV/0!,0.235294118,Buceo errante,2,HD,Detritivores,LC
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,cox,Cirrhitichthys oxycephalus,30,,30,,,,,,,,,,,,,,,,,,,0.0332,3,420.1875,#DIV/0!,#DIV/0!,#DIV/0!,0.882352941,Buceo errante,3.9,IN,Invertebrivores,NE
ACT,Bahía Culebra,Punta Cacique,Punta Cacique,Cacique 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,27/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,9,,No indica,8:35:00 a. m.,9:09:00 a. m.,12:34:00 a. m.,34,cbr,Calamus brachysomus,15,,,,,15,,,,,,,,,,,,,,,,0.3975,2.8761,62523.55321,#DIV/0!,#DIV/0!,#DIV/0!,0.441176471,Buceo errante,3.5,IN,Invertebrivores,NE
