year,month,date,site,diver,transect,t.area,Profundidad,Categoría.profundidad,Código.sp.,Especie,Total,a,b,GF..Quimbayo.Roff.,IUCN,biomass,biomass_g.m2,biomass_kg.ha,biomass_tn.ha,density,size,abd
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,?,,sps,Serranus psittacinus,10,0.0193,2.8511,Piscivores,LC,37.24300315,0.744860063,7.44860063,0.007448601,0.2,2.5,4
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,?,,hdi,Halichoeres dispilus,41,0.0126,3.0673,Invertebrivores,LC,184.9313117,3.698626235,36.98626235,0.036986262,0.82,2.5,11
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,?,,paz,Plagiotremus azaleus,2,0.0046,3.1388,Piscivores,LC,0.163245766,0.003264915,0.032649153,3.26492E-05,0.04,2.5,2
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,?,,dho,Diodon holocanthus,2,0.0219,3,Invertebrivores,NE,117.7125,2.35425,23.5425,0.0235425,0.04,2.5,1
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,?,,chu,Chaetodon humeralis,1,0.0296,2.9895,Omnivores,LC,0.4580716,0.009161432,0.09161432,9.16143E-05,0.02,2.5,1
2015,August,8/4/2015,Cabeza de Mono,Juan Carlos Azofeifa,2,50,14-20,,chu,Chaetodon humeralis,5,0.0296,2.9895,Omnivores,LC,49.36240565,0.987248113,9.87248113,0.009872481,0.1,2.5,1
2015,August,8/4/2015,Cabeza de Mono,Juan Carlos Azofeifa,2,50,14-20,,sps,Serranus psittacinus,1,0.0193,2.8511,Piscivores,LC,0.263101951,0.005262039,0.05262039,5.26204E-05,0.02,2.5,1
2015,August,8/4/2015,Esmeralda,A. Beita,3,50,4.6,Somero,sgh,Scarus ghobban,33,0.0233,2.919,Macroalgae feeders,LC,4277.772401,85.55544801,855.5544801,0.85555448,0.66,2.5,10
2015,August,8/4/2015,Esmeralda,A. Beita,3,50,4.6,Somero,sps,Serranus psittacinus,15,0.0193,2.8511,Piscivores,LC,112.8661514,2.257323027,22.57323027,0.02257323,0.3,2.5,3
2015,August,8/4/2015,Esmeralda,A. Beita,3,50,4.6,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2015,August,8/4/2015,Esmeralda,A. Beita,3,50,4.6,Somero,ado,Apogon dovii,1,0.0141,3.1286,Planktivores,LC,0.247864439,0.004957289,0.049572888,4.95729E-05,0.02,2.5,1
2015,August,8/4/2015,Esmeralda,Juan Carlos Azofeifa,4,50,2.5,Somero,tlu,Thalassoma lucasanum,14,0.01261,2.8783,Invertebrivores,LC,54.29493027,1.085898605,10.85898605,0.010858986,0.28,2.5,1
2015,August,8/5/2015,Güiri-Güiri,Juan Carlos Azofeifa,2,50,3.1-4.4,,tlu,Thalassoma lucasanum,70,0.01261,2.8783,Invertebrivores,LC,12.33683776,0.246736755,2.467367553,0.002467368,1.4,2.5,70
2015,August,8/5/2015,Güiri-Güiri,Juan Carlos Azofeifa,2,50,3.1-4.4,,cat,Chromis atrilobata,2,0.00523,3.41655,Planktivores,LC,0.239394198,0.004787884,0.04787884,4.78788E-05,0.04,2.5,2
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,1,50,2.6-3.3,,tlu,Thalassoma lucasanum,294,0.01261,2.8783,Invertebrivores,LC,805.2973738,16.10594748,161.0594748,0.161059475,5.88,2.5,112
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,1,50,2.6-3.3,,sps,Serranus psittacinus,2,0.0193,2.8511,Piscivores,LC,6.294867842,0.125897357,1.258973568,0.001258974,0.04,2.5,1
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,2,50,2.6-3.3,,tlu,Thalassoma lucasanum,201,0.01261,2.8783,Invertebrivores,LC,35.42434844,0.708486969,7.084869687,0.00708487,4.02,2.5,201
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,2,50,2.6-3.3,,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,2,50,2.6-3.3,,hdi,Halichoeres dispilus,4,0.0126,3.0673,Invertebrivores,LC,0.837590851,0.016751817,0.16751817,0.000167518,0.08,2.5,4
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,2,50,2.6-3.3,,sps,Serranus psittacinus,3,0.0193,2.8511,Piscivores,LC,0.789305852,0.015786117,0.15786117,0.000157861,0.06,2.5,3
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,3,50,2.6-3.3,,sps,Serranus psittacinus,4,0.0193,2.8511,Piscivores,LC,1.052407802,0.021048156,0.21048156,0.000210482,0.08,2.5,4
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,3,50,2.6-3.3,,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,0.856125952,0.017122519,0.17122519,0.000171225,0.06,2.5,3
2015,August,8/5/2015,Palmitas,Juan Carlos Azofeifa,3,50,2.6-3.3,,hdi,Halichoeres dispilus,2,0.0126,3.0673,Invertebrivores,LC,0.418795426,0.008375909,0.083759085,8.37591E-05,0.04,2.5,2
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,3,Somero,tlu,Thalassoma lucasanum,71,0.01261,2.8783,Invertebrivores,LC,229.7849822,4.595699644,45.95699644,0.045956996,1.42,2.5,20
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,3,Somero,hdi,Halichoeres dispilus,27,0.0126,3.0673,Invertebrivores,LC,17.41013861,0.348202772,3.482027723,0.003482028,0.54,2.5,25
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,3,Somero,sps,Serranus psittacinus,7,0.0193,2.8511,Piscivores,LC,1.841713654,0.036834273,0.368342731,0.000368343,0.14,2.5,7
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,cox,Cirrhitichthys oxycephalus,1,0.0332,3,Invertebrivores,NE,0.51875,0.010375,0.10375,0.00010375,0.02,2.5,1
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,hdi,Halichoeres dispilus,10,0.0126,3.0673,Invertebrivores,LC,25.60677786,0.512135557,5.121355573,0.005121356,0.2,2.5,6
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,dho,Diodon holocanthus,8,0.0219,3,Invertebrivores,NE,20.53125,0.410625,4.10625,0.00410625,0.16,2.5,6
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,tlu,Thalassoma lucasanum,7,0.01261,2.8783,Invertebrivores,LC,5.22041937,0.104408387,1.044083874,0.001044084,0.14,2.5,6
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,sgh,Scarus ghobban,2,0.0233,2.919,Macroalgae feeders,LC,0.676040637,0.013520813,0.135208127,0.000135208,0.04,2.5,2
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,3,Somero,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,3,50,3,Somero,hdi,Halichoeres dispilus,50,0.0126,3.0673,Invertebrivores,LC,10.46988564,0.209397713,2.093977128,0.002093977,1,2.5,50
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,3,50,3,Somero,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,August,8/5/2015,Playa Blanca,Juan Carlos Azofeifa,3,50,3,Somero,sps,Serranus psittacinus,6,0.0193,2.8511,Piscivores,LC,1.578611703,0.031572234,0.315722341,0.000315722,0.12,2.5,6
2015,August,8/6/2015,Pelonas,Juan Carlos Azofeifa,1,50,no indica,,tlu,Thalassoma lucasanum,92,0.01261,2.8783,Invertebrivores,LC,78.00334537,1.560066907,15.60066907,0.015600669,1.84,2.5,80
2015,August,8/6/2015,Pelonas,Juan Carlos Azofeifa,2,50,no indica,,hdi,Halichoeres dispilus,12,0.0126,3.0673,Invertebrivores,LC,37.35064807,0.747012961,7.470129614,0.00747013,0.24,2.5,10
2015,August,8/6/2015,Pelonas,Juan Carlos Azofeifa,2,50,no indica,,sps,Serranus psittacinus,1,0.0193,2.8511,Piscivores,LC,0.263101951,0.005262039,0.05262039,5.26204E-05,0.02,2.5,1
2015,August,8/6/2015,Pelonas,Juan Carlos Azofeifa,3,50,no indica,,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,0.856125952,0.017122519,0.17122519,0.000171225,0.06,2.5,3
2015,August,8/6/2015,Pelonas,Juan Carlos Azofeifa,3,50,no indica,,sps,Serranus psittacinus,7,0.0193,2.8511,Piscivores,LC,1.841713654,0.036834273,0.368342731,0.000368343,0.14,2.5,7
2015,August,8/6/2015,Matapalo,Juan Carlos Azofeifa,1,50,no indica,,tlu,Thalassoma lucasanum,121,0.01261,2.8783,Invertebrivores,LC,330.2815559,6.605631118,66.05631118,0.066056311,2.42,2.5,54
2015,August,8/6/2015,Matapalo,Juan Carlos Azofeifa,2,50,no indica,,tlu,Thalassoma lucasanum,320,0.01261,2.8783,Invertebrivores,LC,295.6011082,5.912022165,59.12022165,0.059120222,6.4,2.5,260
2015,August,8/6/2015,Matapalo,Juan Carlos Azofeifa,2,50,no indica,,sps,Serranus psittacinus,1,0.0193,2.8511,Piscivores,LC,0.263101951,0.005262039,0.05262039,5.26204E-05,0.02,2.5,1
2015,August,8/6/2015,Matapalo,Juan Carlos Azofeifa,3,50,no indica,,tlu,Thalassoma lucasanum,117,0.01261,2.8783,Invertebrivores,LC,102.3430368,2.046860736,20.46860736,0.020468607,2.34,2.5,100
2015,August,8/6/2015,Punta Cacique,Juan Carlos Azofeifa,1,50,no indica,,tlu,Thalassoma lucasanum,18,0.01261,2.8783,Invertebrivores,LC,54.9895205,1.09979041,10.9979041,0.010997904,0.36,2.5,12
2015,August,8/6/2015,Punta Cacique,Juan Carlos Azofeifa,1,50,no indica,,sps,Serranus psittacinus,9,0.0193,2.8511,Piscivores,LC,19.67390938,0.393478188,3.934781875,0.003934782,0.18,2.5,6
2015,August,8/6/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,no indica,,sps,Serranus psittacinus,5,0.0193,2.8511,Piscivores,LC,1.315509753,0.026310195,0.263101951,0.000263102,0.1,2.5,5
2015,August,8/6/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,no indica,,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,August,8/6/2015,Punta Cacique,Juan Carlos Azofeifa,3,50,no indica,,sps,Serranus psittacinus,1,0.0193,2.8511,Piscivores,LC,0.263101951,0.005262039,0.05262039,5.26204E-05,0.02,2.5,1
2016,February,2/2/2016,Güiri-Güiri,Juan Carlos Azofeifa,2,50,4.6,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2016,February,2/2/2016,Güiri-Güiri,Juan Carlos Azofeifa,3,50,3.1,Somero,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,7.607465543,0.152149311,1.521493109,0.001521493,0.06,2.5,2
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,4,50,5,Somero,tlu,Thalassoma lucasanum,77,0.01261,2.8783,Invertebrivores,LC,25.53072832,0.510614566,5.106145664,0.005106146,1.54,2.5,74
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,4,50,5,Somero,sgh,Scarus ghobban,24,0.0233,2.919,Macroalgae feeders,LC,8.112487639,0.162249753,1.622497528,0.001622498,0.48,2.5,24
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,4,50,5,Somero,paz,Plagiotremus azaleus,1,0.0046,3.1388,Piscivores,LC,0.081622883,0.001632458,0.016324577,1.63246E-05,0.02,2.5,1
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,4,50,5,Somero,atr,Abudefduf troschelii,3,0.016,3.0516,Planktivores,LC,0.786312116,0.015726242,0.157262423,0.000157262,0.06,2.5,3
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,4,50,5,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,5,50,5,Somero,sac,Stegastes acapulcoensis,1,0.0349,2.9109,Detritivores,LC,0.502561249,0.010051225,0.10051225,0.000100512,0.02,2.5,1
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,6,50,5,Somero,tlu,Thalassoma lucasanum,61,0.01261,2.8783,Invertebrivores,LC,14.7374085,0.29474817,2.9474817,0.002947482,1.22,2.5,60
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,6,50,5,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2016,February,2/2/2016,Güiri-Güiri,Sebastián Mena-González,6,50,5,Somero,paz,Plagiotremus azaleus,1,0.0046,3.1388,Piscivores,LC,0.081622883,0.001632458,0.016324577,1.63246E-05,0.02,2.5,1
2016,February,2/2/2016,Palmitas,Juan Carlos Azofeifa,1,50,6.1,Profundo,cpu,Canthigaster punctatissima,5,0.0197,2.9174,Invertebrivores,LC,14.92955577,0.298591115,2.985911154,0.002985911,0.1,2.5,3
2016,February,2/2/2016,Palmitas,Juan Carlos Azofeifa,2,50,7.5,Profundo,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2016,February,2/2/2016,Palmitas,Juan Carlos Azofeifa,3,50,7.8,Profundo,tlu,Thalassoma lucasanum,57,0.01261,2.8783,Invertebrivores,LC,85.7833151,1.715666302,17.15666302,0.017156663,1.14,2.5,45
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,4,50,5,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,5,50,5,Somero,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,0.856125952,0.017122519,0.17122519,0.000171225,0.06,2.5,3
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,sps,Serranus psittacinus,3,0.0193,2.8511,Piscivores,LC,6.557969792,0.131159396,1.311593958,0.001311594,0.06,2.5,2
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,tlu,Thalassoma lucasanum,131,0.01261,2.8783,Invertebrivores,LC,27.07424626,0.541484925,5.414849253,0.005414849,2.62,2.5,130
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,hch,Halichoeres chierchiae,2,0.0126,3.0673,Invertebrivores,LC,6.29699561,0.125939912,1.259399122,0.001259399,0.04,2.5,1
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,sac,Stegastes acapulcoensis,1,0.0349,2.9109,Detritivores,LC,0.502561249,0.010051225,0.10051225,0.000100512,0.02,2.5,1
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,atr,Abudefduf troschelii,45,0.016,3.0516,Planktivores,LC,11.79468175,0.235893635,2.358936349,0.002358936,0.9,2.5,45
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,paz,Plagiotremus azaleus,1,0.0046,3.1388,Piscivores,LC,0.081622883,0.001632458,0.016324577,1.63246E-05,0.02,2.5,1
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,0.856125952,0.017122519,0.17122519,0.000171225,0.06,2.5,3
2016,February,2/2/2016,Palmitas,Sebastián Mena-González,6,50,5,Somero,dhy,Diodon hystrix,1,0.285,2.345,Invertebrivores,NE,2.443510336,0.048870207,0.488702067,0.000488702,0.02,2.5,1
2016,February,2/3/2016,Pelonas,Juan Carlos Azofeifa,1,50,7.8,Profundo,sps,Serranus psittacinus,4,0.0193,2.8511,Piscivores,LC,38.20622703,0.764124541,7.641245407,0.007641245,0.08,2.5,1
2016,February,2/3/2016,Pelonas,Juan Carlos Azofeifa,1,50,7.8,Profundo,sve,Sufflamen verres,2,0.0249,3.013,Invertebrivores,LC,0.787449278,0.015748986,0.157489856,0.00015749,0.04,2.5,2
2016,February,2/3/2016,Pelonas,Juan Carlos Azofeifa,2,50,7.6,Profundo,sps,Serranus psittacinus,3,0.0193,2.8511,Piscivores,LC,12.32663373,0.246532675,2.465326747,0.002465327,0.06,2.5,1
2016,February,2/3/2016,Pelonas,Juan Carlos Azofeifa,3,50,6.5,Profundo,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
